Unnamed: 0,Player,Mat,Inns,NO,Runs,BF,HS,Ave,SR,100,50,0,4s,6s,Overs,Mdns,Wkts,BBI,Econ,5,10,Ct,St,avg_100_per_innings,avg_50_per_innings,avg_0_per_innings,avg_4s_per_innings,avg_6s_per_innings,avg_wkts_per_innings,avg_mdns_per_innings,avg_ct_per_innings
3,H Karunaratne,22,10.0,0.0,99.0,228.0,33.0,11.0,43.42,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,90.0,10.0,0.0,0.0,20.0
4,H Madavi,40,19.0,4.0,486.0,680.0,105.0,32.4,71.47,1.0,1.0,3.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.263157894736842,5.263157894736842,15.789473684210526,210.52631578947367,10.526315789473683,0.0,0.0,47.368421052631575
5,HDRS Silva,4,4.0,0.0,25.0,45.0,18.0,12.5,91.55,0.0,0.0,0.0,4.0,0.0,12.0,0.0,2.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0
6,I Dulani,6,2.0,0.0,15.0,35.0,10.0,7.5,42.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
7,I Ranaweera,34,24.0,4.0,54.0,162.0,12.0,10.8,86.63,0.0,0.0,0.0,4.0,0.0,115.4,1.0,13.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,54.166666666666664,4.166666666666666,0.0
8,K Kavindi,10,6.0,0.0,17.0,33.0,15.0,8.5,145.51,0.0,0.0,0.0,1.0,0.0,15.4,1.0,1.0,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0
9,KADA Kanchana,8,7.0,1.0,52.0,104.0,47.0,26.0,115.0,0.0,0.0,0.0,2.0,0.0,21.4,1.0,2.0,0.0,5.53,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,28.57142857142857,14.285714285714285,28.57142857142857
10,KDU Prabodhani,28,17.0,1.0,15.0,92.0,9.0,3.75,97.1,0.0,0.0,1.0,1.0,0.0,80.5,5.0,6.0,0.0,4.11,0.0,0.0,1.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,35.294117647058826,29.411764705882355,5.88235294117647
11,MAA Sanjeewani,38,14.0,1.0,174.0,251.0,55.0,13.38,69.32,0.0,1.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,7.142857142857142,21.428571428571427,107.14285714285714,7.142857142857142,0.0,0.0,107.14285714285714
12,NND Silva,42,19.0,7.0,447.0,614.0,63.0,40.63,72.8,0.0,2.0,1.0,39.0,2.0,7.0,0.0,0.0,0.0,5.28,0.0,0.0,9.0,0.0,0.0,10.526315789473683,5.263157894736842,205.26315789473685,10.526315789473683,0.0,0.0,47.368421052631575
13,OU Ranasinghe,36,29.0,2.0,93.0,175.0,20.0,8.45,84.64,0.0,0.0,1.0,7.0,0.0,115.5,5.0,22.0,0.0,5.04,1.0,0.0,2.0,0.0,0.0,0.0,3.4482758620689653,24.137931034482758,0.0,75.86206896551724,17.24137931034483,6.896551724137931
14,PM Weerakkody,8,4.0,0.0,78.0,140.0,30.0,19.5,55.71,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0
15,RMVD Gunaratne,36,18.0,1.0,401.0,556.0,101.0,23.58,72.12,1.0,2.0,1.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.555555555555555,11.11111111111111,5.555555555555555,272.22222222222223,22.22222222222222,0.0,0.0,11.11111111111111
16,S Nisansala,12,10.0,2.0,20.0,21.0,17.0,10.0,128.03,0.0,0.0,1.0,1.0,0.0,43.5,2.0,8.0,0.0,4.69,1.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,80.0,20.0,10.0
17,SIP Fernando,4,2.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,250.0,0.0
18,WGAKK Kulasuriya,30,24.0,3.0,22.0,60.0,12.0,3.14,83.66,0.0,0.0,4.0,3.0,0.0,94.0,9.0,12.0,0.0,4.58,0.0,0.0,5.0,0.0,0.0,0.0,16.666666666666664,12.5,0.0,50.0,37.5,20.833333333333336
19,WK Dilhari,44,39.0,3.0,424.0,549.0,84.0,26.5,109.13,0.0,2.0,4.0,34.0,3.0,133.1,4.0,25.0,0.0,4.92,0.0,0.0,7.0,0.0,0.0,5.128205128205128,10.256410256410255,87.17948717948718,7.6923076923076925,64.1025641025641,10.256410256410255,17.94871794871795
